company_name,period_end_date,currency,unit,revenue,cost_of_sales,gross_profit,operating_expenses,profit_before_tax,net_income_parent
DIPPED PRODUCTS PLC,2013-09-30,Rs.,'000,5581355.0,4707092.0,874263.0,651296.0,196084.0,69603.0
DIPPED PRODUCTS PLC,2014-12-31,Rs.,'000,6194277.0,4959660.0,1234617.0,633760.0,535549.0,326168.0
DIPPED PRODUCTS PLC,2015-03-31,Rs.,'000,6470583.0,5264705.0,1205878.0,747233.0,386820.0,260073.0
DIPPED PRODUCTS PLC,2015-06-30,Rs.,'000,5650710.0,4776447.0,874263.0,660118.0,175619.0,131539.0
DIPPED PRODUCTS PLC,2015-09-30,Rs.,'000,5293025.0,4594668.0,698357.0,648543.0,51816.0,22599.0
DIPPED PRODUCTS PLC,2015-12-31,Rs.,'000,5041686.0,4231321.0,810365.0,681496.0,75385.0,-78870.0
DIPPED PRODUCTS PLC,2016-03-31,Rs.,'000,5945882.0,4850540.0,1095342.0,835421.0,345361.0,270489.0
DIPPED PRODUCTS PLC,2016-06-30,Rs.,'000,5441366.0,4675405.0,765961.0,701030.0,12545.0,-48750.0
DIPPED PRODUCTS PLC,2016-09-30,Rs.,'000,6100534.0,5381886.0,718648.0,668679.0,-12260.0,27257.0
DIPPED PRODUCTS PLC,2016-12-31,Rs.,'000,6196358.0,5128238.0,1068120.0,686064.0,240468.0,106744.0
DIPPED PRODUCTS PLC,2017-03-31,Rs.,'000,6596165.0,5160366.0,1435799.0,737004.0,816507.0,667950.0
DIPPED PRODUCTS PLC,2017-06-30,Rs.,'000,7462445.0,6517799.0,944646.0,764529.0,92538.0,-29566.0
DIPPED PRODUCTS PLC,2017-09-30,Rs.,'000,7092432.0,6112310.0,980122.0,765647.0,136727.0,41254.0
DIPPED PRODUCTS PLC,2018-03-31,Rs.,'000,7139080.0,5738495.0,1400585.0,801802.0,640479.0,285969.0
DIPPED PRODUCTS PLC,2018-06-30,Rs.,'000,7632600.0,6443399.0,1189201.0,808000.0,326081.0,215075.0
DIPPED PRODUCTS PLC,2018-09-30,Rs.,'000,7246850.0,6166433.0,1080417.0,850565.0,226742.0,152671.0
DIPPED PRODUCTS PLC,2018-12-31,Rs.,'000,7578258.0,6212725.0,1365533.0,861937.0,706989.0,397974.0
DIPPED PRODUCTS PLC,2019-03-31,Rs.,'000,7631610.0,6320744.0,1310866.0,883207.0,382734.0,102704.0
DIPPED PRODUCTS PLC,2019-06-30,Rs.,'000,7831200.0,6695608.0,1135592.0,844426.0,220915.0,101612.0
DIPPED PRODUCTS PLC,2019-09-30,Rs.,'000,7459141.0,6426880.0,1032261.0,826890.0,229161.0,230918.0
DIPPED PRODUCTS PLC,2020-06-30,Rs.,'000,9318440.0,7370356.0,1948084.0,991953.0,895416.0,610268.0
DIPPED PRODUCTS PLC,2020-09-30,Rs.,'000,10960772.0,8160399.0,2800373.0,1105316.0,1711197.0,1309518.0
DIPPED PRODUCTS PLC,2020-12-31,Rs.,'000,12314064.0,8916474.0,3397590.0,1147481.0,2214093.0,1586412.0
DIPPED PRODUCTS PLC,2021-06-30,Rs.,'000,16781921.0,13441706.0,3340215.0,1790873.0,1718480.0,1245541.0
DIPPED PRODUCTS PLC,2021-09-30,Rs.,'000,13231334.0,10524082.0,2707252.0,1392903.0,1373207.0,961595.0
DIPPED PRODUCTS PLC,2021-12-31,Rs.,'000,12730290.0,10421358.0,2308932.0,1211334.0,1116993.0,811015.0
DIPPED PRODUCTS PLC,2022-03-31,Rs.,'000,12550438.0,10174187.0,2376251.0,1811340.0,3388095.0,2364500.0
DIPPED PRODUCTS PLC,2022-06-30,Rs.,'000,20730476.0,15374560.0,5355916.0,2253288.0,5012432.0,3702319.0
DIPPED PRODUCTS PLC,2022-09-30,Rs.,'000,21263582.0,16614963.0,4648619.0,2584397.0,2234910.0,1173589.0
DIPPED PRODUCTS PLC,2022-12-31,Rs.,'000,19586955.0,15328969.0,4257986.0,2867627.0,1588485.0,827422.0
DIPPED PRODUCTS PLC,2023-03-31,Rs.,'000,18518298.0,13171748.0,5346550.0,3042379.0,2382864.0,803753.0
DIPPED PRODUCTS PLC,2023-06-30,Rs.,'000,18551212.0,15084368.0,3466844.0,2310752.0,1262435.0,573911.0
DIPPED PRODUCTS PLC,2023-09-30,Rs.,'000,18272973.0,14039036.0,4233937.0,2852531.0,1681321.0,873015.0
DIPPED PRODUCTS PLC,2023-12-31,Rs.,'000,18041721.0,14175982.0,3865739.0,2638729.0,1354024.0,708372.0
DIPPED PRODUCTS PLC,2024-03-31,Rs.,'000,19076054.0,13583528.0,5492526.0,2347454.0,3269668.0,2275450.0
DIPPED PRODUCTS PLC,2024-09-30,Rs.,'000,21277143.0,16638143.0,4639000.0,2624352.0,1824809.0,920291.0
