company_name,period_end_date,currency,unit,revenue,cost_of_sales,gross_profit,operating_expenses,profit_before_tax,net_income_parent
Richard Pieris Exports PLC,2012-03-31,Rs.,'000,495183.0,375238.0,119945.0,72246.0,36455.0,27229.0
Richard Pieris Exports PLC,2012-06-30,Rs.,'000,605644.0,476171.0,129473.0,53223.0,67392.0,36285.0
Richard Pieris Exports PLC,2012-09-30,Rs.,'000,693255.0,525478.0,167777.0,53279.0,101419.0,51626.0
Richard Pieris Exports PLC,2012-12-31,Rs.,'000,522442.0,419730.0,102712.0,45638.0,53260.0,25582.0
Richard Pieris Exports PLC,2013-06-30,Rs.,'000,606746.0,460266.0,146480.0,64074.0,80061.0,44399.0
Richard Pieris Exports PLC,2013-12-31,Rs.,'000,567633.0,418900.0,148733.0,62537.0,85992.0,39970.0
Richard Pieris Exports PLC,2014-06-30,Rs.,'000,639920.0,444845.0,195075.0,80723.0,115324.0,71747.0
Richard Pieris Exports PLC,2014-12-31,Rs.,'000,588666.0,414212.0,174454.0,81791.0,98301.0,54224.0
Richard Pieris Exports PLC,2015-03-31,Rs.,'000,583365.0,411561.0,171804.0,71852.0,80215.0,40230.0
Richard Pieris Exports PLC,2015-06-30,Rs.,'000,745511.0,501001.0,244510.0,90110.0,157810.0,104525.0
Richard Pieris Exports PLC,2015-12-31,Rs.,'000,725050.0,495360.0,229690.0,101392.0,133710.0,71393.0
Richard Pieris Exports PLC,2016-03-31,Rs.,'000,723627.0,494081.0,229546.0,99949.0,161679.0,74148.0
Richard Pieris Exports PLC,2016-06-30,Rs.,'000,878450.0,576800.0,301650.0,105489.0,187758.0,115981.0
Richard Pieris Exports PLC,2017-06-30,Rs.,'000,1063039.0,689054.0,373985.0,150944.0,239126.0,120669.0
Richard Pieris Exports PLC,2017-09-30,Rs.,'000,1073051.0,736797.0,336254.0,138363.0,205296.0,97940.0
Richard Pieris Exports PLC,2018-06-30,Rs.,'000,1227444.0,831172.0,396272.0,164769.0,251973.0,132796.0
Richard Pieris Exports PLC,2018-09-30,Rs.,'000,1330358.0,902404.0,427954.0,180666.0,297431.0,158020.0
Richard Pieris Exports PLC,2018-12-31,Rs.,'000,1341932.0,897292.0,444640.0,188260.0,345791.0,181280.0
Richard Pieris Exports PLC,2019-03-31,Rs.,'000,1282622.0,795597.0,487025.0,182115.0,269910.0,120938.0
Richard Pieris Exports PLC,2019-06-30,Rs.,'000,1265721.0,849098.0,416623.0,147353.0,290038.0,160808.0
Richard Pieris Exports PLC,2019-09-30,Rs.,'000,1530361.0,1053997.0,476364.0,152679.0,378714.0,210899.0
Richard Pieris Exports PLC,2020-03-31,Rs.,'000,989411.0,687100.0,302311.0,94068.0,261183.0,147094.0
Richard Pieris Exports PLC,2020-06-30,Rs.,'000,875553.0,608048.0,267505.0,94844.0,128494.0,67529.0
Richard Pieris Exports PLC,2020-09-30,Rs.,'000,1655885.0,1081414.0,574471.0,189189.0,391886.0,209238.0
Richard Pieris Exports PLC,2020-12-31,Rs.,'000,1486022.0,978963.0,507059.0,190523.0,351500.0,171155.0
